   M    BELSURF     ASURFEL        VOLSEL
 426   126.03500    0.1303E+08    0.3086E+08
 427   126.03900    0.1306E+08    0.3091E+08
 428   126.04000    0.1310E+08    0.3093E+08
 429   126.05300    0.1314E+08    0.3110E+08
 430   126.07300    0.1318E+08    0.3136E+08
 431   126.07900    0.1322E+08    0.3144E+08
 432   126.08700    0.1323E+08    0.3154E+08
 433   126.09100    0.1325E+08    0.3160E+08
 434   126.11400    0.1328E+08    0.3190E+08
 435   126.12100    0.1332E+08    0.3200E+08
 436   126.12800    0.1335E+08    0.3209E+08
 437   126.13400    0.1340E+08    0.3217E+08
 438   126.14300    0.1344E+08    0.3229E+08
 439   126.16900    0.1347E+08    0.3264E+08
 440   126.17300    0.1350E+08    0.3269E+08
 441   126.18300    0.1351E+08    0.3283E+08
 442   126.18800    0.1354E+08    0.3290E+08
 443   126.20300    0.1357E+08    0.3310E+08
 444   126.20600    0.1360E+08    0.3314E+08
 445   126.22600    0.1360E+08    0.3341E+08
 446   126.22800    0.1361E+08    0.3344E+08
 447   126.23000    0.1364E+08    0.3347E+08
 448   126.24300    0.1367E+08    0.3364E+08
 449   126.24600    0.1371E+08    0.3369E+08
 450   126.25100    0.1374E+08    0.3375E+08
 451   126.25800    0.1378E+08    0.3385E+08
 452   126.26400    0.1379E+08    0.3393E+08
 453   126.26800    0.1381E+08    0.3399E+08
 454   126.27600    0.1385E+08    0.3410E+08
 455   126.28200    0.1388E+08    0.3418E+08
 456   126.28200    0.1392E+08    0.3418E+08
 457   126.28300    0.1395E+08    0.3420E+08
 458   126.28500    0.1399E+08    0.3422E+08
 459   126.28900    0.1403E+08    0.3428E+08
 460   126.30800    0.1406E+08    0.3455E+08
 461   126.31200    0.1408E+08    0.3460E+08
 462   126.32000    0.1410E+08    0.3472E+08
 463   126.32300    0.1413E+08    0.3476E+08
 464   126.32800    0.1418E+08    0.3483E+08
 465   126.33000    0.1422E+08    0.3486E+08
 466   126.33000    0.1425E+08    0.3486E+08
 467   126.33700    0.1429E+08    0.3496E+08
 468   126.35100    0.1435E+08    0.3516E+08
 469   126.35400    0.1436E+08    0.3520E+08
 470   126.37200    0.1440E+08    0.3546E+08
 471   126.37300    0.1443E+08    0.3547E+08
 472   126.38300    0.1446E+08    0.3562E+08
 473   126.38500    0.1450E+08    0.3565E+08
 474   126.39700    0.1453E+08    0.3582E+08
 475   126.39900    0.1455E+08    0.3585E+08
 476   126.40500    0.1458E+08    0.3594E+08
 477   126.40800    0.1460E+08    0.3598E+08
 478   126.40900    0.1463E+08    0.3600E+08
 479   126.41200    0.1464E+08    0.3604E+08
 480   126.41600    0.1464E+08    0.3610E+08
 481   126.42500    0.1468E+08    0.3623E+08
 482   126.43200    0.1472E+08    0.3633E+08
 483   126.43300    0.1472E+08    0.3635E+08
 484   126.43700    0.1473E+08    0.3641E+08
 485   126.44000    0.1476E+08    0.3645E+08
 486   126.45800    0.1480E+08    0.3672E+08
 487   126.46600    0.1482E+08    0.3684E+08
 488   126.46600    0.1483E+08    0.3684E+08
 489   126.46700    0.1488E+08    0.3685E+08
 490   126.47600    0.1490E+08    0.3698E+08
 491   126.47800    0.1494E+08    0.3701E+08
 492   126.48400    0.1498E+08    0.3710E+08
 493   126.48600    0.1501E+08    0.3713E+08
 494   126.51900    0.1505E+08    0.3763E+08
 495   126.52600    0.1506E+08    0.3774E+08
 496   126.52900    0.1508E+08    0.3778E+08
 497   126.53000    0.1509E+08    0.3780E+08
 498   126.53800    0.1510E+08    0.3792E+08
 499   126.54300    0.1513E+08    0.3799E+08
 500   126.54300    0.1514E+08    0.3799E+08
 501   126.54600    0.1515E+08    0.3804E+08
 502   126.56200    0.1519E+08    0.3828E+08
 503   126.56800    0.1522E+08    0.3837E+08
 504   126.58400    0.1526E+08    0.3862E+08
 505   126.59000    0.1527E+08    0.3871E+08
 506   126.61300    0.1532E+08    0.3906E+08
 507   126.61300    0.1533E+08    0.3906E+08
 508   126.61700    0.1535E+08    0.3912E+08
 509   126.63500    0.1539E+08    0.3940E+08
 510   126.65400    0.1542E+08    0.3969E+08
 511   126.65700    0.1545E+08    0.3974E+08
 512   126.65800    0.1548E+08    0.3975E+08
 513   126.66000    0.1550E+08    0.3978E+08
 514   126.66300    0.1554E+08    0.3983E+08
 515   126.67600    0.1557E+08    0.4003E+08
 516   126.68600    0.1559E+08    0.4019E+08
 517   126.68800    0.1561E+08    0.4022E+08
 518   126.69100    0.1564E+08    0.4027E+08
 519   126.69200    0.1565E+08    0.4028E+08
 520   126.70900    0.1565E+08    0.4055E+08
 521   126.71600    0.1567E+08    0.4066E+08
 522   126.73000    0.1570E+08    0.4088E+08
 523   126.73900    0.1575E+08    0.4102E+08
 524   126.76000    0.1577E+08    0.4135E+08
 525   126.77900    0.1581E+08    0.4165E+08
 526   126.79200    0.1586E+08    0.4185E+08
 527   126.80300    0.1587E+08    0.4203E+08
 528   126.80400    0.1589E+08    0.4205E+08
 529   126.80800    0.1592E+08    0.4211E+08
 530   126.81000    0.1594E+08    0.4214E+08
 531   126.81100    0.1596E+08    0.4216E+08
 532   126.81800    0.1598E+08    0.4227E+08
 533   126.84400    0.1601E+08    0.4268E+08
 534   126.84400    0.1602E+08    0.4268E+08
 535   126.84700    0.1603E+08    0.4273E+08
 536   126.85000    0.1607E+08    0.4278E+08
 537   126.85900    0.1608E+08    0.4293E+08
 538   126.86400    0.1612E+08    0.4301E+08
 539   126.86400    0.1615E+08    0.4301E+08
 540   126.86500    0.1618E+08    0.4302E+08
 541   126.86600    0.1623E+08    0.4304E+08
 542   126.86900    0.1624E+08    0.4309E+08
 543   126.88700    0.1627E+08    0.4338E+08
 544   126.89100    0.1627E+08    0.4344E+08
 545   126.89400    0.1630E+08    0.4349E+08
 546   126.89700    0.1631E+08    0.4354E+08
 547   126.89900    0.1633E+08    0.4357E+08
 548   126.90400    0.1634E+08    0.4366E+08
 549   126.91300    0.1638E+08    0.4380E+08
 550   126.91400    0.1639E+08    0.4382E+08
 551   126.92200    0.1642E+08    0.4395E+08
 552   126.92200    0.1643E+08    0.4395E+08
 553   126.92300    0.1648E+08    0.4397E+08
 554   126.92400    0.1653E+08    0.4398E+08
 555   126.92700    0.1655E+08    0.4403E+08
 556   126.93300    0.1657E+08    0.4413E+08
 557   126.93700    0.1662E+08    0.4420E+08
 558   126.94400    0.1663E+08    0.4432E+08
 559   126.95200    0.1664E+08    0.4445E+08
